Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.62,0.458015267,0.582524272,0.512820513,0.686609827
HYBRID (Stacking Ensemble),0.676666667,0.565217391,0.252427184,0.348993289,0.66196836
Random Forest,0.653333333,0.491803279,0.291262136,0.365853659,0.660440589
SVM,0.636666667,0.475409836,0.563106796,0.515555556,0.65440343
Gradient Boosting,0.643333333,0.467741935,0.281553398,0.351515152,0.645409295
XGBoost,0.646666667,0.473684211,0.262135922,0.3375,0.644571485
,,,,,0.644571485
,,,,,0.644571485
,,,,,0.644571485
